가수,제목,가사,장르
성시경,내게 오는 길,지금 곁에서 딴 생각에 잠겨걷고 있는 그대설레는 마음에 몰래그대 모습 바라보면서내 안에 담아요사랑이겠죠또 다른 말로는 설명 할 수 없죠함께 걷는 이 길다시 추억으로 끝나지않게꼭 오늘처럼 지켜갈게요사랑한다는 그 말 아껴둘 걸 그랬죠이젠 어떻게 내 맘 표현해야 하나모든 것이 변해가도이 맘으로 그대 사랑할게요망설였나요날 받아주기가 아직 힘든가요그댈 떠난 사람그만 잊으려고 애쓰지마요나 그때까지 기다릴테니사랑한다는 그 말 아껴둘 걸 그랬죠이젠 어떻게 내 맘 표현해야 하나모든 것이 변해가도이 맘으로 그대 사랑할게요눈물이 또 남아있다면 모두 흘려버려요이 좋은 하늘 아래 우리만 남도록사랑할 수 있나요 내가 다가간만큼이젠 내게 와줘요 내게 기댄 마음사랑이 아니라해도 괜찮아요그댈 볼 수 있으니괜찮아요 내가 사랑할테니,발라드
윤하,기다리다,어쩌다 그댈 사랑하게 된 거죠어떻게 이렇게 아플 수 있죠한번 누구도 이처럼 원한 적 없죠그립다고 천 번쯤말해보면 닿을까요울어보고 떼쓰면 그댄 내 맘 알까요그 이름 만 번쯤 미워해볼까요서운한 일들만 손꼽을까요이미 사랑은 너무 커져 있는데그댄 내가 아니니내 맘 같을 수 없겠죠그래요 내가 더 많이 좋아한 거죠아홉 번 내 마음 다쳐도한번 웃는 게 좋아그대 곁이면 행복한 나라서싫은 표정 한번 조차도편히 지은 적 없죠그대 말이면 뭐든 다 할 듯 했었죠천년 같은 긴 기다림도그댈 보는 게 좋아하루 한 달을 그렇게 일년을오지 않을 그댈 알면서또 하염없이 뒤척이며기다리다 기다리다 잠들죠나 언제쯤 그댈 편하게 볼까요언제쯤 이 욕심 다 버릴까요그대 모든 게 알고 싶은 나인데언제부터 내 안에숨은 듯이 살았나요꺼낼 수 조차 없는 깊은 가시가 되어아홉 번 내 마음 다쳐도한번 웃는 게 좋아그대 곁이면 행복한 나라서싫은 표정 한번 조차도편히 지은 적 없죠그대 말이면 뭐든 다 할 듯 했었죠천년 같은 긴 기다림도그댈 보는 게 좋아하루 한 달을 그렇게 일년을오지 않을 그댈 알면서또 하염없이 뒤척이며기다리다 기다리다 잠들죠그댈 위해 아끼고 싶어누구도 줄 수 없죠나는 그대만 그대가 아니면혼자인 게 더 편한 나라또 어제처럼 이곳에서기다리고 기다리는나예요,발라드
이적,걱정말아요 그대,그대여 아무 걱정 하지 말아요우리 함께 노래 합시다그대 아픈 기억들 모두 그대여그대 가슴에 깊이 묻어 버리고지나간 것은 지나간 대로그런 의미가 있죠떠난 이에게 노래 하세요후회없이 사랑했노라 말해요그대는 너무 힘든 일이 많았죠새로움을 잃어 버렸죠그대 슬픈 얘기들 모두 그대여그대 탓으로 훌훌 털어 버리고지나간 것은 지나간 대로그런 의미가 있죠우리 다 함께 노래 합시다후회없이 꿈을 꾸었다 말해요지나간 것은 지나간 대로그런 의미가 있죠우리 다 함께 노래 합시다후회없이 꿈을 꾸었다 말해요지나간 것은 지나간 대로그런 의미가 있죠우리 다 함께 노래 합시다후회없이 꿈을 꾸었다 말해요새로운 꿈을 꾸겠다 말해요,발라드
김동률,다시 사랑한다 말할까,마치 어제 만난 것처럼잘있었냔 인사가 무색할 만큼괜한 우려였는지서먹한 내가 되려 어색했을까어제 나의 전활 받고서밤새 한숨도 못 자 엉망이라며수줍게 웃는 얼굴어쩌면 이렇게도 그대로일까그땐 우리 너무 어렸었다며지난 얘기들로 웃음짓다가아직 혼자라는 너의 그 말에불쑥 나도 몰래 가슴이 시려다시 사랑한다 말할까조금 멀리 돌아왔지만기다려왔다고널 기다리는게나에게 제일 쉬운 일이라시간이 가는 줄 몰랐다고다시 사랑한다 말할까여전히 난 부족하지만받아주겠냐고널 사랑하는게내삶에 전부라어쩔 수 없다고 말야그땐 사랑인줄 몰랐었다며가끔 내 소식을 들을때마다항상 미안했단 너의 그 말에불쑥 나도 몰래 눈물이 흘러다시 사랑한다 말할까언젠가는 내게 돌아올운명이었다고널 잊는다는 게나에게 제일 힘든 일이라생각 조차 할 수 없었다고다시 사랑한다 말할까좋은 친구처럼편하게 받아주겠냐고다시 태어나도널 사랑하는게내 삶에 이유란 말야다시 사랑한다 말할까조금 멀리 돌아왔지만기다려왔다고널 기다리는게나에겐 제일 쉬운 일이라시간이 가는 줄 몰랐다고다시 사랑한다 말할까여전히 난 부족하지만받아주겠냐고널 사랑하는게내삶에 전부라,발라드
오혁,소녀,내 곁에만 머물러요 떠나면 안돼요그리움 두고 머나먼 길그대 무지개를 찾아올 순 없어요노을 진 창가에 앉아멀리 떠가는 구름을 보면찾고 싶은 옛 생각들 하늘에 그려요음 불어오는 차가운 바람 속에그대 외로워 울지만나 항상 그대 곁에 머물겠어요떠나지 않아요노을 진 창가에 앉아멀리 떠가는 구름을 보면찾고 싶은 옛 생각들 하늘에 그려요음 불어오는 차가운 바람 속에그대 외로워 울지만나 항상 그대 곁에 머물겠어요떠나지 않아요내 곁에만 머물러요 떠나면 안돼요,발라드
에일리,저녁 하늘,어떤 날에든 저녁 하늘은못 올려보는 습관이 있어온 세상이 날 떠나는듯한이상한 그 기분이 싫어멀리 떨어지는 저 해는내일 다시 올텐데나를 비춰줬던 햇살은아닐 것 같아니가 가도 사랑은 다시 오고소란스런 이별을 겪어봐도이렇게 너는 너는 너는자꾸 맘에 걸려가끔씩은 좋아서 웃긴 하고더 가끔씩은 행복의 맛을 봐도아직도 너는 너는 너는Deep in me누군가에게 맘을 줄 때면반을 남기는 습관이 있어다 줘버리면 떠날 것 같은이상한 그 예감이 싫어반쯤 아껴둔 이 맘누구 줄 수 조차 없는데반쯤 고장나버린 나를들키긴 싫어니가 가도 사랑은 다시 오고소란스런 이별을 겪어봐도이렇게 너는 너는 너는자꾸 맘에 걸려가끔씩은 좋아서 웃긴 하고더 가끔씩은 행복의 맛을 봐도아직도 너는 너는 너는Deep in me너의 맘은 어디쯤일까나를 맴돈 적은 있을까나처럼 아주 가끔시간이라는 게다 지우지는 못 하나봐아직도 네 이름은편히 말하질 못해니가 아닌 누군가 나를 안고내가 아닌 누군가 너를 안고이렇게 오래 오래 오래나날들이 가도하지 못한 말들이 입에 남아다 주지 못한 사랑이 맘에 남아어쩌면 너는 너는 너는Still in me,발라드
SG워너비,죄와벌,너무나 사랑한게 죄였나봐떠날까봐 널 가뒀으니내게만 보여줬던 니 모습은혼자 숨겨두고 싶었어달콤한 독이 되어 퍼져버린너에 대한 내 미련들이가녀린 내 사랑을 헤쳐갔어내게서 널 뺏어간거야이젠 보낼게 널 놓아줄게내가 없는게 더 행복한 너라면못난 내사랑도 못된 미련도난 혼자 남아 지워갈게차츰 넌 향기 없는 꽃이 되어원망하듯 시들어갔어미안해 내 사랑이 서툴러서너를 다치게 했었나봐이젠 보낼게 널 놓아줄게내가 없는게 더 행복한 너라면못난 내사랑도 못된 미련도난 혼자 남아 지워갈게행복해도돼 꼭 그래야해그것만 믿고 널 보내는 나니까마지막 인사로 이 말만 해줘조금은 사랑했었다고아픈 가슴을 치며 그리워져도널 찾지는 않을거야마지막 인사로 이 말만 해줘조금은 사랑했었다고이젠 보낼게 널 놓아줄게내가 없는게 더 행복한 너라면못난 내사랑도 못된 미련도난 혼자남아 지워갈게행복해도돼 꼭 그래야해그것만 믿고 널 보내는 나니까마지막 인사로 이 말만 해줘조금은 사랑했었다고나 혼자 남아 지워갈게,발라드
빅마마,체념,행복했어너와의 시간들아마도너는 힘들었겠지너의 마음을몰랐던 건 아니야나도 느꼈었지만널 보내는게널 떠나보내는게아직은 익숙하지가 않아그렇게 밖에 할 수 없던니가 원망스러워왜 말 안했니아님 못한거니조금도 날생각하지 않았니좋아한다며사랑한다며이렇게 끝낼거면서왜 그런말을 했니널 미워해야만하는 거니아니면 내 탓을해야만 하는 거니시간을돌릴수만 있다면다시 예전으로돌아가고 싶은 마음뿐이야왜 말 안했니아님 못한거니조금도 날생각하지 않았니좋아한다며사랑한다며이렇게 끝낼거면서왜 그런말을 했니널 미워해야만하는 거니아니면 내 탓을해야만 하는 거니시간을 돌릴수만 있다면다시 예전으로돌아가고 싶은 마음뿐이야그래 더 이상묻지 않을게내곁을 떠나고 싶다면돌아보지 말고 떠나가눈물은 흘리지 않을게괜히 마음만 약해지니깐내게서 멀어진니 모습이흐릿하게 보여눈물이 나나봐널 많이그리워할것 같아참아야만 하겠지잊혀질 수 있도록다시 사랑같은거하지 않을래내 마지막 사랑은돌아선 너에게주고 싶어서행복하길 바래나보다 좋은 여자만나기를,발라드
백지영,사랑 안해,그럴려고 그랬어 돌아가려고너의 차가움엔 그래 다 이유 있었던거야나를 만지는 너의 손길 없어진이제야 깨닫게 되었어 네맘 떠나간 것을설마하는 그런 미련 때문에그래도 나는 나를 위로해나 이제 이러는 내가 더 가여워이제라도 널 지울꺼야 기억의 모두를이제 다시 사랑안해 말하는 난 너와 같은 사람다시 만날 수가 없어서 사랑할 수 없어서바보처럼 사랑 안해 말하는 널 사랑한다나를 잊길바래 나를 지워줘바보처럼 몰랐어 너희 두 사람아직 기억하려던 그건 그래 다 욕심이야다짐했건만 매일 아침 눈을 떠지나간 너에게 기도해 나를 잊지 말라고제발 지금 내가 바라는 하나내 얘길 너무 쉽게 하진마차라리 나를 모른다고 말해줘시간지나 알게 될꺼야 내 사랑의 가치를이제 다시 사랑안해말하는 난 너와 같은 사람다시 만날 수가 없어서 사랑할 수 없어서바보처럼 사랑안해 말하는 널 사랑한다나를 잊길 바래 나를 지워줘내가 없는 내가 아닌 그 자리에 사랑 채우지마혹시 만날 수가 있다면 사랑 할 수 있다면아프잖아 사랑한 널 지켜보며 사랑한단그 말 한마디를 하지 못해서,발라드
어쿠스틱 콜라보,"묘해, 너와",니 생각에 꽤 즐겁고니 생각에 퍽 외로워이상한 일이야누굴 좋아한단 건아무 일도 없는 저녁집 앞을 걷다밤 공기가 좋아서뜬금없이 이렇게니가 보고 싶어참 묘한 일이야 사랑은좋아서 그립고그리워서 외로워져이게 다 무슨 일일까내 맘이 내 맘이 아닌걸이제와 어떡해모든 시간 모든 공간내 주위엔 온통너뿐인 것 같아 묘해보고 싶어 신기하고신기해서 보고 싶고그러다 한 순간미친 듯 불안하고아무렇지도 않은데햇살에 울컥눈물이 날 것 같고그러다가 니 전화한 통에 다 낫고참 묘한 일이야 사랑은아파서 고맙고고마워서 대견해져이게 다 무슨 일일까이 길이 그 길이 아닌걸모르고 떠나온여행처럼 낯설지만그래서 한번 더가보고 싶어져 너와이렇게 너를 바라볼 때뭐랄까 나는행복한 채로 두려워져참 묘한 일이야 사랑은좋아서 그립고그리워서 외로워져이게 다 무슨 일일까내 맘이 내 맘이 아닌걸이제와 어떡해모든 시간 모든 공간내 주위엔 온통너뿐인 것 같아 묘해그래서 한번 더가보고 싶어져 너와,발라드
임창정,또 다시 사랑,아픔이 좀 더 작아질까의미 없는 만남을 하다가어느 날 그대가 흘린 눈물왠지 나와 같다 느껴서이렇게 그대를 지키는가 봐요행복하고 싶었던 그대를몰랐던 누군갈 또 알아가면서분명 행복할 걸 알겠지만내가 그대를 만났다는 건어쩌면 흘러가는 흔한인연이란 것 일지 모르지만오늘도 다시 또 다시 사랑해요사랑 언제나 이번이 마지막이라며처음인 듯 찾아오니까어느 날 그대가 숨긴 눈물왠지 나와 같다 느껴서이렇게 그대를 지키는 가 봐요행복하고 싶었던 그대를몰랐던 누군갈 또 알아가는 게혹시 두렵기도 하겠지만내가 그대를 만났다는 건어쩌면 흘러가는 흔한인연이란 것일지 모르지만오늘도 다시 또 다시 사랑해요사랑 언제나 이번이 마지막이라며처음인 듯 찾아오니까절대 우리 작은 다툼조차 하지 마요이별 후엔 서운함만가슴속에 남으니사소한 그 표현이 그 말들이언제나 나에겐 참고마울 거예요내가 그대를 만났다는 건어쩌면 흘러가는 흔한인연이란 것 일지 모르지만오늘도 다시 또 다시 사랑해요사랑 언제나 이번이 마지막이라며처음인 듯 찾아오니까사랑 언제나 이번이 마지막이라며,발라드
다비치,안녕이라고 말하지마,떨리는 너의 입술을난 난 처음 보았지무슨 말 하려고 말 하려고뜸만 들이는지슬픈 예감은 다 맞는단노래 가사처럼설마 아니겠지 아닐 거야아니어야만 돼벌써 넌 나를 떠나 니 마음마저떠나 또 몸마저도 떠나는데난 몰라 널 잡을 방법을 좀누가 내게 말해줘요오늘밤 그 말만은 말아요왜 날 버리고 갔나요나 마음이 아파 가슴이 아파눈물 차올라요아직은 안녕 우린 안돼요넌 그 입을 더 열지마안녕이라고 내게 말하지마차가운 너의 한마디가 날 주저앉혔지세상 무너질 듯 무너진 듯눈물만 눈물만지금 순간이 가면 이 순간이지나면 영영 우린 이별인데사랑해 죽도록 사랑한 날날 버리지 말아줘요오늘밤 그 말만은 말아요왜 날 버리고 갔나요나 마음이 아파 가슴이 아파눈물 차올라요아직은 안녕 우린 안돼요넌 그 입을 더 열지마안녕이라고 내게 말하지마이별이 뭔지 나는 몰라요그냥 서럽고 서러워나 사연이 많아 추억이 많아가슴 찢어져요아직은 안녕 우린 안돼요넌 그 입을 더 열지마안녕이라고 내게 말하지마안녕이라고 내게 말하지마,발라드
임창정,소주 한 잔,술이 한 잔 생각나는 밤 같이있는 것 같아요그 좋았던 시절들 이젠 모두한숨만 되네요떠나는 그대 얼굴이 혹시울지나 않을까나 먼저 돌아섰죠 그때부터그리워요사람이 변하는 걸요 다시전보다 그댈 원해요이렇게 취할때면 꺼져버린전화를 붙잡고여보세요 나야 거기 잘 지내니여보세요 왜 말 안하니울고 있니 내가 오랜만이라서사랑하는 사람이라서그대 소중한 마음 밀쳐낸이기적인 그때의 나에게그대를 다시 불러오라고미친듯이 외쳤어떠나는 그대 얼굴이 마치처음과 같아서나 눈물이 났어요 그때부터그리워요사람이 변하는 걸요 다시전보다 그댈 원해요이렇게 취할때면 바뀌어버린전화번홀 누르고여보세요 나야 거기 잘 지내니오랜만이야 내 사랑아그대를 다시 불러오라고미친듯이 울었어 우여보세요 나야 정말 미안해이기적인 그때의 나에게그대를 다시 불러오라고미친듯이 외쳤어,발라드
포맨,못해(Feat.美),이제는 밥을 먹어도눈물 없이는 삼키지 못해억지로 먹고 먹어도 속이 늘 허전해노랠 들어도 흥얼대지도 못해영화를 봐도내가 뭘 본 건 지 기억 못해밥도 잘 먹지 못해 니가 생각날까봐니 생각에 체할까봐니가 떠난 후로 오늘도눈물로 하루를 먹고 살아버스도 타지 못해 누가 날 욕할까봐우는 날 놀려댈까봐아무 것도 못해너 없인 나 혼자 살지 못해이제는 술을 마셔도눈물 없이는 마시지 못해아무리 병을 비워도 너만 더 생각해살아서 뭐해 넌 내 곁에 없는데혼자 뭘 어째아무것도 할 수 없는 난데밥도 잘 먹지 못해 니가 생각날까봐니 생각에 체할까봐니가 떠난 후로 오늘도눈물로 하루를 먹고 살아버스도 타지 못해 누가 날 욕할까봐우는 날 놀려댈까봐아무것도 못해너 없인 나 혼잔 살지 못해너 없인 웃는 것도 난 못해너 없인 걷는 것도 난 못해아무 것도 아무 것도 못해내겐 니 사랑이 필요해혼자 살아서 뭐해 니가 더 잘 알잖아너 없인 나 안 되잖아너 밖에 몰라서 너 없인밥조차 먹지 못하는 난데차마 죽지도 못해 니가 돌아올까봐언젠가 날 찾을까봐아무 것도 못해오늘도 내일도 너만 원해,발라드
