가수,제목,가사,장르
김범수,끝사랑,내가 이렇게 아픈데그댄 어떨까요원래 떠나는 사람이더 힘든 법인데아무 말하지 말아요그대 마음 알아요간신히 참고 있는 날울게 하지 마요이별은 시간을 멈추게 하니까모든걸 빼앗고 추억만 주니까아무리 웃어 보려고안간힘 써 봐도밥 먹다가도 울겠지만그대 오직 그대만이내 첫사랑 내 끝사랑지금부터 달라질 수 없는한 가지그대만이 영원한 내 사랑그대도 나처럼 잘못했었다면그 곁에 머물기 수월했을까요사랑해 떠난다는 말과분하다는 말코웃음 치던 나였지만그대 오직 그대만이내 첫사랑 내 끝사랑지금부터 그대나를 잊고 살아도그대만이 영원한 내 사랑나는 다시는 사랑을못할 것 같아요그대가 아니면,발라드
임영웅,미운 사랑,남몰래 기다리다가가슴만 태우는 사랑어제는 기다림에오늘은 외로움그리움에 적셔진 긴 세월이렇게 살라고 인연을 맺었나차라리 저 멀리 둘 걸미워졌다고 갈 수 있나요행여나 찾아올까봐가슴이 사랑을 잊지 못해이별로 끝난다해도그 끈을 놓을 순 없어너와 난 운명인 거야이렇게 살라고 인연을 맺었나차라리 저 멀리 둘 걸미워졌다고 갈 수 있나요행여나 찾아올까봐가슴이 사랑을 잊지 못해이별로 끝난다해도그 끈을 놓을 순 없어너와 난 운명인 거야그 끈을 놓을 순 없어너와 난 운명인 거야,트로트
임영웅,보라빛 엽서,보라빛 엽서에 실려온 향기는당신의 눈물인가 이별의 마음인가한숨속에 묻힌 사연 지워 보려 해도떠나 버린 당신 마음 붙잡을 수 없네오늘도 가버린 당신의 생각엔눈물로 써 내려간 얼룩진 일기장엔다시 못 올 그대 모습 기다리는 사연오늘도 가버린 당신의 생각에눈물로 써 내려간 얼룩진 일기장엔다시 못 올 그대 모습 기다리는 사연오늘도 가버린 당신의 생각에눈물로 써 내려간 얼룩진 일기장엔다시 못 올 그대 모습 기다리는 사연다시 못 올 그대 모습 기다리는 사연,트로트
임영웅,마량에 가고싶다,너와 내가 만나서사랑을 맹세한마량의 까막섬그날의 맹서 그날의 약속가슴에 새겨있는데오고 가는 연락선에고동소리 구슬픈데보고 싶어라 그리운 님아마량에 가고 싶다너와 내가 만나서사랑을 노래한마량의 고금대교그날의 추억 그날의 낭만가슴에 남아있는데나를 잊었나 벌써 잊었나사랑하고 있는데보고싶어라 그리운 님아마량에 가고 싶다오고 가는 연락선에고동소리 구슬픈데보고 싶어라 그리운 님아마량에 가고싶다마량에 가고싶다,트로트
임영웅,그대여 변치마오,오 그대여 변치마오오 그대여 변치마오불타는 이 마음을 믿어주세요말 못하는 이 마음을 알아주세요그 누가 이 세상을 다 준다 해도당신이 없으면 나는 나는 못살아수많은 세월이 흐른다 해도당신만을 당신만을기다리며 살아갈테야오 그대여 변치마오오 그대여 변치마오불타는 이 마음을 믿어주세요말 못하는 이 마음을 알아주세요그 누가 이세상을 다 준다 해도당신이 없으면 나는 나는 못살아수많은 세월이 흐른다 해도당신만을 당신만을 기다리며살아갈테야 살아갈테야 살아갈테야,트로트
임영웅,바램,내 손에 잡은 것이 많아서손이 아픕니다등에 짊어진 삶의 무게가온 몸을 아프게 하고매일 해결해야 하는 일 때문에내 시간도 없이 살다가평생 바쁘게 걸어 왔으니다리도 아픕니다내가 힘들고 외로워 질 때내 얘길 조금만 들어 준다면어느 날 갑자기 세월의 한복판에덩그러니 혼자 있진 않겠죠큰 것도 아니고 아주 작은 한 마디지친 나를 안아 주면서사 랑 한 다정말 사랑 한다는그 말을 해 준다면나는 사막을 걷는다 해도꽃길이라 생각 할 겁니다우린 늙어가는 것이 아니라조금씩 익어가는 겁니다우린 늙어가는 것이 아니라조금씩 익어가는 겁니다저 높은 곳에 함께 가야 할 사람그대 뿐입니다,트로트
임영웅,소풍 같은 인생,너도 한번 나도 한번누구나 한 번 왔다가는 인생바람 같은 시간이야멈추지 않는 세월하루하루 소중하지미련이야 많겠지만후회도 많겠지만어차피 한 번 왔다가는 걸붙잡을 수 없다면소풍가듯 소풍가듯웃으며 행복하게 살아야지너도 한번 나도 한번누구나 한 번 왔다가는 인생바람 같은 시간이야멈추지 않는 세월하루하루 소중하지미련이야 많겠지만후회도 많겠지만어차피 한 번 왔다가는 걸붙잡을 수 없다면소풍가듯 소풍가듯웃으며 행복하게 살아야지미련이야 많겠지만후회도 많겠지만어차피 한 번 왔다가는 걸붙잡을 수 없다면소풍가듯 소풍가듯웃으며 행복하게 살아야지웃으며 행복하게 살아야지,트로트
임영웅,당신,내 품에 안기어곤히 잠든 그대여어느덧 그대 눈가에도주름이 졌네내 가슴에 묻혀꿈을 꾸는 그대여야위어진 그댈 바라보니눈물이 솟네고왔던 여자의 순정을이 못난 내게 바쳐 두고한마디 원망도 않은 채긴 세월을 보냈지난 맹세하리라고생 많은 당신께이 생명 다하는 날까지그대를 사랑하리고왔던 여자의 순정을이 못난 내게 바쳐 두고한마디 원망도 않은 채긴 세월을 보냈지난 맹세하리라고생 많은 당신께이 생명 다하는 날까지그대를 사랑하리,트로트
임영웅,어느날 문득,어느 날 문득 돌아다보니지나온 모든 게 다 아픔이네요날 위해 모든 걸 다 버려야는데아직도 내 마음 둘 곳을 몰라요오늘도 가슴엔 바람이 부네요마음엔 나도 모를 설움이 가득어디로 갈까요 어떻게 할까요아직도 내가 날 모르나봐요언제쯤 웃으며 날 볼 수 있을까언제쯤 모든 걸 다내려놓을 수 있을까그땐 왜 그랬을까 그땐 왜 몰랐을까사랑에 이별이 숨어있는지어느 날 문득 생각해 보니내가 없으면 세상이 없듯이날 위해 이제는 다 비워야는데아직도 내가 날 모르나봐요언제쯤 웃으며 날 볼 수 있을까언제쯤 모든 걸 다내려놓을 수 있을까그땐 왜 그랬을까 그땐 왜 몰랐을까사랑에 이별이 숨어있는지어느 날 문득 생각해 보니내가 없으면 세상이 없듯이날 위해 이제는 다 비워야는데아직도 내가 날 모르나봐요아직도 내가 날 모르나봐요 hoo oh oh,트로트
임영웅,사랑이 이런 건가요,사랑이 이런 건가요가슴이 떨려오네요나 그대 생각하면은자꾸만 가슴이 뛰네요어쩌다 이렇게 멋진그대를 만나게 됐는지아무리 생각해도 난행운의 남자인가 봐난 이제 하루하루가그대 있어 너무 행복해그 깊은 사랑에 빠져도대체 헤어 나올 수가 없어사랑이 이런 건가요가슴이 떨려오네요나 그대 생각하면은자꾸만 가슴이 뛰네요난 이제 하루하루가그대 있어 너무 행복해그 깊은 사랑에 빠져도대체 헤어 나올 수가 없어사랑이 이런 건가요가슴이 떨려오네요나 그대 생각하면은자꾸만 가슴이 뛰네요나 그대 생각하면은자꾸만 가슴이 뛰네요,트로트
임영웅,1.2.3.4,1 2 3 41 2 3 41 2 3 41 2 3 41 일생에 단 한번당신이란 사람을 만나아픔 나누며 웃음 나누며정말 행복해요2 이 많은 사랑을죽어서도 받고 싶어요하루하루 보내는 마음일년이 하루 같아요3 삼백년에 한번 핀무명초가 된다해도그대 눈에 꽃이 되어사랑만 받고 싶어요사랑해요 영원히 사랑해요 영원히사랑 사랑 사랑 사랑영원한 내 사랑아1 일생에 단 한번당신이란 사람을 만나아픔 나누며 웃음 나누며정말 행복해요2 이 많은 사랑을죽어서도 받고 싶어요하루하루 보내는 마음일년이 하루 같아요3 삼백년에 한번 핀무명초가 된다해도그대 눈에 꽃이 되어사랑만 받고 싶어요사랑해요 영원히 사랑해요 영원히사랑 사랑 사랑 사랑영원한 내 사랑아사랑해요 영원히 사랑해요 영원히사랑 사랑 사랑 사랑영원한 내 사랑아사랑해요 영원히 사랑해요 영원히사랑 사랑 사랑 사랑영원한 내 사랑아사랑 사랑 사랑 사랑영원한 내 사랑아1 2 3 4,트로트
임영웅,붉은 입술,밤을 새워 지는 달도별을 두고 가는데배 떠난 부둣가에는검은 연기만 남아맺지 못할 사연 두고떠난 사람을이렇게 밤을 새워울어야 하나잊지 못할 붉을 입술나를 두고 가는 사람원망도 했다마는헤어질 운명이기에웃으며 보냈지단 하나의 사랑만은믿어 주세요사랑의 노래를 들려주던잊지 못할 붉은 입술,트로트
임영웅,울면서 후회하네,순정을 다 바쳐서 믿었던 그 사람사랑의 낙서만 남기고 떠나갔네사랑이 이렇게도 괴로운 줄왜 몰랐을까빼앗긴 내 마음을 찾을 수도 없으면서울면서 후회하네아 ~스쳐만 지나갈 걸그냥 그대로 있을 걸당신 앞에 머뭇거린내가 미워서울면서 후회하네이 마음 다 바쳐서 믿었던 그 사람사랑의 상처만 남기고 떠나갔네슬픔이 이렇게도 아픈 것을왜 몰랐던가상처 난 내 마음을 달랠 수도 없으면서울면서 후회하네아~ 차라리 스칠 것을쳐다보지 말 것을당신 앞에 서성거린내가 미워서울면서 후회하네당신 앞에 머뭇거린내가 미워서울면서 후회하네울면서 후회하네울면서 후회하네,트로트
임영웅,0시의 이별,네온 불이 쓸쓸하게꺼져 가는 삼거리이별 앞에 너와 나는한없이 울었다추억만 남겨 놓은젊은 날에 불 장난원점으로 돌아 가는 영시처럼사랑아 안녕밤 안개가 자욱 한길깊어 가는 이한밤너와 나의 주고받는인사는 슬펐다울기도 안타까운잊어야 할 아쉬움원점으로 돌아 가는 영시처럼사랑아 안녕,트로트
임영웅,어느 60대 노부부이야기,곱고 희던 그 손으로넥타이를 메어주던 때어렴풋이 생각나오여보 그 때를 기억하오막내아들 대학 시험뜬 눈으로 지새던 밤들어렴풋이 생각나오여보 그 때를 기억하오세월을 그렇게 흘러여기까지 왔는데인생은 그렇게 흘러황혼에 기우는데큰 딸아이 결혼식 날흘리던 눈물 방울이이제는 모두 말라여보 그 눈물을 기억하오세월은 그렇게 흘러여기까지 왔는데인생은 그렇게 흘러황혼에 기우는데세월은 그렇게 흘러여기까지 왔는데인생은 그렇게 흘러황혼에 기우는데다시 못 올 그 먼 길을어찌 혼자 가려하오여기 날 홀로 두고여보 왜 한마디 말이 없소여보 안녕히 잘 가시게여보 안녕히,트로트
임영웅,일편단심 민들레야,님 주신 밤에 씨 뿌렸네사랑의 물로 꽃을 피웠네처음 만나 맺은 마음일편단심 민들레야그 여름 어인 광풍그 여름 어인 광풍낙엽지듯 가시었네행복했던 장미인생비 바람에 꺾이니나는 한 떨기 슬픈 민들레야긴 세월을 하루 같이하늘만 쳐다보니그 이의 목소리는어디에서 들을까일편단심 민들레는일편단심 민들레는떠나지 않으리라해가 뜨면 달이 가고낙엽지니 눈보라치네기다리고 기다리는일편단심 민들레야가시 밭길 산을 넘고가시 밭길 산을 넘고강을 건너 찾아왔소행복했던 장미인생비 바람에 꺾이니나는 한 떨기 슬픈 민들레야긴 세월을 하루 같이하늘만 쳐다보니그 이의 목소리는어디에서 들을까일편단심 민들레는일편단심 민들레는떠나지 않으리라떠나지 않으리라,트로트
영탁,막걸리 한잔,막걸리 한 잔온 동네 소문 났던 천덕꾸러기막내아들 장가가던 날앓던 이가 빠졌다며 덩실 더덩실춤을 추던 우리 아버지아버지 우리 아들 많이 컸지요인물은 그래도 내가 낫지요고사리 손으로따라주는 막걸리 한잔아버지 생각나네황소처럼 일만 하셔도살림살이는 마냥 그 자리우리 엄마 고생시키는아버지 원망했어요아빠처럼 살긴 싫다며가슴에 대못을 박던못난 아들을 달래주시며따라주던 막걸리 한잔따라주던 막걸리 한잔황소처럼 일만 하셔도살림살이는 마냥 그 자리우리 엄마 고생시키는아버지 원망했어요아빠처럼 살긴 싫다며가슴에 대못을 박던못난 아들을 달래주시며따라주던 막걸리 한잔따라주던 막걸리 막걸리 한잔,트로트
이찬원,진또배기,어 허야듸야 허야듸야어 허야듸야 허야듸야허야듸야어촌마을 어귀에 서서마을에 평안함을 기원하는진또배기 진또배기 진또배기오리 세마리 솟대에 앉아물 불 바람을 막아주는진또배기 진또배기 진또배기모진 비바람을 견디며바다의 심술을 막아주고말없이 마을을 지켜온진또배기 진또배기어허 허야듸야풍어와 풍년을 빌면서일년내내 기원하는진또배기 진또배기진또배기 진또배기어 허야듸야 허야듸야허야듸야 허야듸야배띄워라 노를 저어라파도가 춤을 춘다 노래한다진또배기 진또배기진또배기 진또배기어허 허야듸야허야듸야 허야듸야 얼 쑤,트로트
영탁,찐이야,찐찐찐찐 찐이야 (찐)찐찐찐찐 찐이야 완전 찐이야진짜가 나타났다 지금찐찐찐찐 찐이야 완전 찐이야찐하게 사랑할 거야 (사랑할 거야)요즘 같이 가짜가 많은 세상에믿을 사람 바로 당신 뿐내 모든 걸 다 줘도 아깝지 않은내 인생에 전부인 사람끌리네 끌리네 자꾸 끌리네 (쏠)쏠리네 쏠리네 자꾸 쏠리네 (쏠)심장을 훔쳐간 사람 (찐)찐찐찐찐 찐이야 완전 찐이야 (찐이야 찐이야)진짜가 나타났다 지금찐찐찐찐 찐이야 완전 찐이야찐하게 사랑할 거야찐찐찐찐 찐이야 (찐)요즘 같이 가짜가 많은 세상에믿을 사람 바로 당신 뿐내 모든 걸 다 줘도 아깝지 않은내 인생에 전부인 사람끌리네 끌리네 자꾸 끌리네 (쏠)쏠리네 쏠리네 자꾸 쏠리네 (쏠)심장을 훔쳐간 사람 (찐)찐찐찐찐 찐이야 완전 찐이야 (찐이야 찐이야)진짜가 나타났다 지금찐찐찐찐 찐이야 완전 찐이야찐하게 사랑할 거야찐하게 찐하게 찐하게 찐하게 찐하게사랑할 거야 찐,트로트
김호중,고맙소,이 나이 먹도록세상을 잘 모르나 보다진심을 다해도나에게 상처를 주네이 나이 먹도록사람을 잘 모르나 보다사람은 보여도마음은 보이질 않아이 나이 되어서그래도 당신을 만나서고맙소 고맙소 늘 사랑하오술 취한 그날 밤손등에 눈물을 떨굴 때내 손을 감싸며괜찮아 울어준 사람세상이 등져도나라서 함께 할 거라고등 뒤에 번지던눈물이 참 뜨거웠소이 나이 되어서그래도 당신을 만나서고맙소 고맙소 늘 사랑하오못난 나를 만나서긴 세월 고생만 시킨 사람이런 사람이라서미안하고 아픈 사람나 당신을 위해 살아가겠소남겨진 세월도 함께 갑시다고맙소 고맙소늘 사랑하오 늘 사랑하오고맙소 고맙소늘 사랑하오,트로트
장윤정,초혼,살아서는 갖지 못하는그런 이름 하나 때문에그리움 맘 눈물 속에난 띄워 보낼 뿐이죠스치듯 보낸 사람이어쩌다 내게 들어 와장미의 가시로 남아서날 아프게 지켜 보네요따라가면 만날 수 있나멀고 먼 세상 끝까지그대라면 어디라도난 그저 행복 할테니살아서는 갖지 못하는그런 이름 하나 때문에그리움 맘 눈물 속에난 띄워 보낼 뿐이죠스치듯 보낸 사람이어쩌다 내게 들어와장미의 가시로 남아서날 아프게 지켜보네요따라가면 만날 수 있나멀고 먼 세상 끝까지그대라면 어디라도난 그저 행복할테니난 너무 행복할테니,트로트
나훈아,고장난 벽시계,세월아 너는 어찌 돌아도 보지 않느냐나를 버린 사람보다네가 더욱 야속하더라한두 번 사랑 땜에 울고 났더니저만큼 가버린 세월고장 난 벽시계는 멈추었는데저 세월은 고장도 없네청춘아 너는 어찌 모른 척하고 있느냐나를 버린 사람보다네가 더욱 무정하더라뜬구름 쫓아가다 돌아 봤더니어느새 흘러간 청춘고장 난 벽시계는 멈추었는데저 세월은 고장도 없네고장 난 벽시계는 멈추었는데저 세월은 고장도 없네,트로트
나훈아,테스형!,어쩌다가 한바탕 턱 빠지게 웃는다그리고는 아픔을 그 웃음에 묻는다그저 와준 오늘이 고맙기는 하여도죽어도 오고 마는 또 내일이 두렵다아 테스형 세상이왜 이래 왜 이렇게 힘들어아 테스형 소크라테스형사랑은 또 왜 이래너 자신을 알라며 툭 내뱉고 간 말을내가 어찌 알겠소 모르겠소 테스형울 아버지 산소에 제비꽃이 피었다들국화도 수줍어 샛노랗게 웃는다그저 피는 꽃들이 예쁘기는 하여도자주 오지 못하는 날 꾸짖는 것만 같다아 테스형 아프다세상이 눈물 많은 나에게아 테스형 소크라테스형세월은 또 왜 저래먼저가본 저세상 어떤 가요 테스형가보니까 천국은 있던 가요 테스형아 테스형 아 테스형아 테스형 아 테스형아 테스형 아 테스형아 테스형 아 테스형,트로트
진성,보릿고개,아야뛰지 마라배 꺼질라가슴 시린 보릿 고갯길주린 배 잡고물 한 바가지배 채우시던그 세월을어찌 사셨소초근목피에그 시절 바람결에지워져 갈 때어머님 설움잊고 살았던한 많은 보릿고개여풀피리 꺾어 불던슬픈 곡조는어머님의 한숨이었소아야 우지 마라배 꺼질라가슴 시린 보릿 고갯길주린 배 잡고물 한 바가지배 채우시던그 세월을어찌 사셨소초근목피에그 시절 바람결에지워져 갈 때어머님 설움잊고 살았던한 많은 보릿고개여풀피리 꺾어 불던슬픈 곡조는어머님의한숨이었소초근목피에그 시절 바람결에지워져 갈 때어머님 설움잊고 살았던한 많은 보릿고개여풀피리 꺾어 불던슬픈 곡조는어머님의한숨이었소풀피리 꺾어 불던슬픈 곡조는어머님의통곡이었소,트로트
임영웅,두 주먹,"두 주먹을 내가 내가꼭 안고 갈게요당신 두 손을 내밀어 봐요내 사랑을 당신 손에 꼭 쥐어 줄게요나에게 당신은 숨을 쉬는 공기야내가 매일 마시는 소중한 물이야 (두 주먹)내 가슴에 집을 짓고 사는 당신오래도록 내 옆에 있어주세요함께 가는 길이 아무리 험해도내가 당신 꼭 안고 갈게요진짜 진짜 사랑이 무엇인가를당신 손에 꼭 쥐어 주고 싶어 (진짜, 진짜, 진짜)꼭 쥔 주먹을 내밀어 봐요두 주먹을 내가 내가움켜쥐고 갈게요두 주먹을 내가 내가꼭 안고 갈게요당신 두 손을 내밀어 봐요내 사랑을 당신 손에 꼭 쥐어 줄게요나에게 당신은 숨을 쉬는 공기야내가 매일 마시는 소중한 물이야 (두 주먹)내 가슴에 집을 짓고 사는 당신오래도록 내 옆에 있어주세요함께 가는 길이 아무리 험해도내가 당신 꼭 안고 갈게요진짜 진짜 사랑이 무엇인가를당신 손에 꼭 쥐어 주고 싶어 (진짜, 진짜, 진짜)꼭 쥔 주먹을 내밀어 봐요두 주먹을 내가 내가움켜쥐고 갈게요두 주먹을 내가 내가꼭 안고 갈게요 두 주먹",트로트
임영웅,배신자,얄밉게 떠난 님아얄밉게 떠난 님아내 청춘 내 순정을뺏어 버리고얄밉게 떠난 님아얄밉게 떠난 님아얄밉게 떠난 님아내 청춘 내 순정을뺏어 버리고얄밉게 떠난 님아더벅머리 사나이에상처를 주고너 혼자 미련 없이떠날 수가 있을까배신자여 배신자여사랑의 배신자여얄밉게 떠난 님아얄밉게 떠난 님아내 청춘 내 행복을짓밟아 놓고얄밉게 떠난 님아더벅머리 사나이에상처를 주고너 혼자 미련 없이돌아서서 가는가배신자여 배신자여사랑의 배신자여더벅머리 사나이에상처를 주고너 혼자 미련 없이돌아서서 가는가배신자여 배신자여사랑의 배신자여사랑의 배신자여,트로트
아이유,Love wins all,"Dearest, Darling, My universe 날 데려가 줄래? 나의 이 가난한 상상력으론 떠올릴 수  는 곳으로 저기 멀리 from Earth to Mars 꼭 같이 가줄래? 그곳이 어디든, 오랜 외로움 그 반대말을 찾아서 어떤 실수로 이토록 우리는 함께일까 세상에게서 도망쳐 Run on  나와    까지 가줘 My lover 나쁜 결말일까 길 잃은 우리 둘 um 부서지도록 나를 꼭 안아 더 사랑    게 입 맞춰 Lover Love is all Love is all Love Love Love Love 결국, 그럼에도, 어째서 우 는 서로일까  세상에게서 도망쳐 Run on 나와 저 끝까지 가줘 My lover 나쁜 결말일까    은 우리 둘 um 찬찬히 너를 두 눈에 담아  한 번 더 편안히 웃어주렴 유영하듯 떠오른 그     처럼, 나와 함께 겁 없이 저물어줄래? 산산히 나를 더 망쳐 Ruiner 너와 슬퍼지고 싶어  y  over  필연에게서 도망쳐 Run on 나와 저 끝까지 가줘 My lover 일부러 나란히 길 잃은  리 두 사람  부서지도록 나를 꼭 안아 더 사랑히 내게 입 맞춰 Lover Our Love wins all  ove wins all Love Love Love Love   ",k-pop
뉴진스,Cookie,"내가 만든 쿠키 너를 위해 구웠지 But you know that it ain't for free, yeah 내가 만든  키 너무 부드러우니 자꾸만 떠오르니 널 choco-chip으로 Sprinkle로 입맛 버리게 만들   어 숨기고 있지만 널 더 보고 싶어 If you want it You can get it If you want it 네 목소리     려줘 boy 식사는 없어 배고파도 음료는 없어 목말라도 달콤한 맛만 디저트만 만 원하       잖아 식사는 없어 배고파도 음료는 없어 목말라도 달콤한 맛만 디저트만 만 원하게 될    잖아 내가 만든 쿠키 너에게는 독이지 네 마음속을 녹이지 So good, yeah Looking at  y cookie 역시 향기부터 다르니 (Taste it) 한입은 모자라니 널 choco-chip으로 Sprinkle로 정신 못 차리게 만들고 싶어 숨기고 있지만 널 더 보고 싶어 If you want it You can get it If you want it 네 목소리를 또 들려줘 boy 식사는 없어 배고파도 음료는  어 목말라도 달콤한 맛만 디저트만 만 원하게 될 거 알잖아  식사는 없어 배고파도 음 는 없어 목말라도 달콤한 맛만 디저트만 만 원하게 될 거 알잖아 Bet you know Bet  ou know Bet you know I 레시핀 없어 딴 데서는 못 찾아 Take it Don't break it I wanna  ee you taste it Sugar, got sugar 난 재료 안 아끼지 Bet you know Bet you know Bet  ou know I 네 다이어트를 망치고 싶어 나 Take it Don't break it I wanna see you taste  t Sugar, got sugar Bet you want some 식사는 없어 배고파도 음료는 없어 목말라도 달콤한 맛만 디저트만 만 원하       잖아 식사는 없어 배고파도 음료는 없어 목말라도 달콤한 맛만 디저트만 만 원하게 될 거  잖아 Yeah yo Yeah yo Mm mm Yeah yo Yeah yo Mm mm 내가 만든 쿠키 Come and  ake a lookie 우리 집에만 있지 놀러 와 얼마든지 굽지 그런데 너 충치 생겨도 난 몰라 내   든 쿠키 Come and take a lookie 우리 집에만 있지 놀러 와 얼마든지 굽지 그런데 너 충  생겨도 난 몰라 ",k-pop
뉴진스,hype boy,"Baby, got me looking so crazy 빠져버리는 daydream Got me feeling you 너도 말해 래 누가 내게 뭐라든 남들과는 달라 넌 Maybe you could be the one 날 믿어봐 한번 I'm not looking for just fun Maybe I could be the one Oh baby 예민하대 나 lately 너  이는 매일 매일이 yeah 재미없어 어쩌지 I just want you Call my phone right now I  ust wanna hear you're mine 'Cause I know what you like boy You're my chemical  ype boy 내 지난날들은 눈 뜨면 잊는 꿈 Hype boy 너만 원해 Hype boy 내가 전해 And  e can go high 말해봐 yeah 느껴봐 mm mm Take him to the sky You know I hype you  oy 눈을 감아 말해봐 yeah 느껴봐 mm mm Take him to the sky You know I hype you  oy 잠에 들려고 잠에 들려 해도 네 생각에 또 새벽 세 시 uh-oh 알려줄 거야 they can't have you no more 봐봐  기 내 이름 써있다고 누가 내게 뭐라든 남들과는 달라 넌 Maybe you could be the one 날 믿어봐 한번 I'm not looking for just fun Maybe I could be the one Oh baby 예민하대    ately 너 없이는 매일 매일이 yeah 재미없어 어쩌지 I just want you Call my phone right  ow I just wanna hear you're mine 'Cause I know what you like boy You're my chemical  ype boy 내 지난날들은 눈 뜨면 잊는 꿈 Hype boy 너만 원해 Hype boy 내가 전해 And  e  an go high 말해봐 yeah 느껴봐 mm mm Take him to the sky You know I hype you boy 눈을 감아 말해봐 yeah 느껴봐 mm mm Take him to the sky You know I hype you boy ",k-pop
뉴진스, Attention,"You and me 내 맘이 보이지 한참을 쳐다봐 가까이 다가가 You see You see, ey ey ey  y One, two, three 용기가 생겼지 이미 아는 네 눈치 고개를 돌려 천천히 여기 You see 여기 보이니 Looking for attention 너야겠어 확실하게 나로 만들겠어 Stop, eyyy Drop  he question Drop the, drop the question Want attention Wanna want attention You  ive me butterflies you know 내 맘은 온통 paradise 꿈에서 깨워주지 마  You got me  ooking for attention You got me looking for attention 가끔은 정말 헷갈리지만 분명한   Got me looking for attention 널 우연히 마주친 척할래 못 본 척 지나갈래  You're so  ine Gotta gotta get to know ya  나와 나와 걸어가 줘 지금 돌아서면 I need ya, need  a, need ya  To look at me back   ey 다 들켰었나 널 보면 하트가 튀어나와 난 사탕을 찾는 baby  baby)  맘은 설레이지  Eyyy, drop the question rop the, drop the question   ant attention Wanna want attention  You give me butterflies you know 내 맘은 온통 paradise 꿈에서  워주지 마 You got me looking for attention You got me looking for attention 가끔은 정말  헷갈리지만  명한 건 Got me looking for attention You got me looking for attention  You  ot me looking for attention 가끔은 정말 헷갈리지만  명한 건 Got me looking for  attention A T T E N T I on  Attention is what I want A T T E N T I on ttention is what I  want A T T E N T I on Attention is what I want  A T T E N T I on You got me looking for  ttention ",k-pop
뉴진스, ditto,"Woo woo woo woo ooh Woo woo woo woo Stay in the middle Like you a little Don't  ant no riddle 말해줘 say it back  Oh say it ditto 아침은 너무 멀어 So say it ditto 훌쩍  버렸어 함께한 기억처럼 널 보는 내 마음은 어느새 여름 지나 가을  기다렸지 all this  ime Do you want somebody Like I want somebody 날 보고 웃었지만 Do you think  bout me now yeah All the time yeah All the time  I got no time to lose 내 길었던 하루 난 보고 싶어 Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta) I got nothing to lose 널 좋아한다고  ooah wooah wooah Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta) But I don't want to Stay in the   iddle Like you a little Don't want no riddle   해줘 say it back Oh say it ditto 아침은 너    어 So say it ditto  I don't want to  Walk in this 미로 다 아는 건 아니어도 바라던 대로   말해줘 Say it  ack Oh say it ditto I want you so, want you So say it ditto  Not just anybody 너를 상상했 항상 닿아있던  처음 느낌 그대로 난  기다렸지 all this time I got nothing to lose   좋아한 다고 wooah wooah wooah Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta) But I don't want to  Stay  n the middle Like you a little Don't want no riddle  말해줘 say it back h say it ditto  아침 너무 멀어  So say it ditto  don't want to  Walk in this 미로  다 아는 건 아니어도 바라던    말해줘 Say it back Oh say it ditto I want you so, want you  o say it ditto Woo woo woo  oo ooh oo woo woo woo",k-pop
르세라핌, easy,"다친대도 길을 걸어 kiss me 쉽지 않음 내가 쉽게 easy Stage 위엔 불이 튀어, 내 body Pull up and I rip it up like ballet Damn, I really make it look easy Yuh know that I make it  ook easy Clap your hands, 너도 나와 같다면 clap your hands now 의구심 따윈 그냥 치 , 그냥 말해 “I'm the real one”  조명 꺼진 뒤의 난 wander in the night Don't know what is  ight, don't know 'bout my rights 시기심, 의심, 불신, 이젠 friends of me, yuh 세상에게 난  쪽짜리 seraphim, yuh Uhm I've been tryin' so long to show you show you show you I'm   he one that you need 다친대도 길을 걸어 kiss me 쉽지 않음 내가 쉽게 easy Stage 위엔  이 튀어, 내 body Pull up and I rip it up like ballet amn, I really make it look easy  Yuh  now that I make it look easy Yah know that I make it look easy 수면 위의 백조가 돼   hippin' 때론 풀려, 나의 다리 but I keep it Get, set, go, come and see me, I'm the  EARLESS 나의 발걸음은 매 순간 history, 이건 my way  영웅처럼 걸어 even if I am not  lawless 편하게만 왔다고?  날 몰라봤다면 you have to know Uhm I've been tryin' so   ong to show you show you show you 'm the one that you need  다친대도 길을 걸어  iss   e 쉽지 않음 내가 쉽게 easy Stage 위엔 불이 튀어, 내 body    ull up and I rip it up like  allet Damn, I really make it look easy Yuh know that I make it look easy ",k-pop
